dataset,lossfunction,recall,acc,f1_macro,f1_micro,auroc,avg_training_time,acc_class_0,f1_class_0,auc_class_0,acc_class_1,f1_class_1,auc_class_1,acc_class_2,f1_class_2,auc_class_2,acc_class_3,f1_class_3,auc_class_3,acc_class_4,f1_class_4,auc_class_4,acc_class_5,f1_class_5,auc_class_5
CiteSeer,CEL,0.7373914757799692,0.768,0.74133519564019,0.768,0.9151351451873779,0.1466478395462036,44.15584415584416,0.5190839694656488,0.8043294733435579,75.27472527472527,0.7191601049868767,0.921760391198044,74.58563535911603,0.7356948228882834,0.9118922820580279,80.08658008658008,0.8203991130820399,0.9404663390359099,85.20710059171597,0.8275862068965518,0.9597547689744301,83.125,0.8260869565217391,0.952607886904762
CiteSeer,CEL,0.6719473234361143,0.738,0.6512340124792555,0.738,0.8690667152404785,0.14682950258255004,3.896103896103896,0.07500000000000001,0.6339435212674649,84.61538461538461,0.7129629629629629,0.918237325022166,70.7182320441989,0.713091922005571,0.8858127753155377,77.05627705627705,0.8109339407744874,0.9133495459893377,88.75739644970415,0.79155672823219,0.9400807468011023,78.125,0.8038585209003216,0.9229761904761904
CiteSeer,CEL,0.7330133485653035,0.767,0.7366265154745664,0.767,0.913428544998169,0.14599637746810912,40.25974025974026,0.4920634920634921,0.8004460328403991,72.52747252747253,0.7096774193548387,0.9170618501303096,74.58563535911603,0.7258064516129032,0.9119833512098705,80.51948051948052,0.8285077951002227,0.9394446039439537,88.16568047337279,0.8209366391184573,0.9576364115381055,83.75,0.8427672955974843,0.9539992559523811
CiteSeer,CEL,0.7317508436279686,0.767,0.7364931945420755,0.767,0.9118137359619141,0.14893234491348267,40.25974025974026,0.4920634920634921,0.7945505199026326,76.92307692307692,0.7272727272727274,0.9160677342217683,72.37569060773481,0.7197802197802198,0.907676117620869,81.81818181818181,0.8271334792122539,0.9452822859844966,85.79881656804734,0.8262108262108262,0.9538233681527211,81.875,0.8264984227129337,0.9534821428571428
CiteSeer,CEL,0.7244325554209214,0.768,0.7285611294487953,0.768,0.9098927974700928,0.1506940531730652,31.16883116883117,0.4210526315789474,0.7935585541219344,79.12087912087912,0.7328244274809161,0.9174615115935407,76.24309392265194,0.736,0.9091129864610528,80.51948051948052,0.8230088495575221,0.9379077792601849,86.98224852071006,0.823529411764706,0.9564686447496777,80.625,0.8349514563106795,0.9448474702380952
CiteSeer,CEL,0.7304339938052221,0.764,0.734391666024521,0.764,0.913957417011261,0.1454390788078308,40.25974025974026,0.4769230769230769,0.7944379564097874,77.47252747252747,0.7324675324675325,0.9264253472688679,74.03314917127072,0.7127659574468085,0.9107522311942202,78.78787878787878,0.8088888888888889,0.9400722814246872,85.20710059171597,0.8372093023255813,0.9580351611731784,82.5,0.8380952380952381,0.9540215773809525
CiteSeer,CEL,0.7297858602416613,0.762,0.7321327509273763,0.762,0.9126262068748474,0.14553939580917358,41.55844155844156,0.463768115942029,0.7994048205315811,75.82417582417582,0.7320954907161803,0.9197990273784894,74.58563535911603,0.7277628032345014,0.9129952306747886,78.78787878787878,0.8035320088300222,0.9377726737934802,84.61538461538461,0.819484240687679,0.9548629654155897,82.5,0.8461538461538461,0.9509226190476192
CiteSeer,WCEL,0.7278048818183752,0.76,0.7300881123755435,0.76,0.9144815802574158,0.14683324098587036,40.25974025974026,0.4806201550387597,0.8047797273149385,75.82417582417582,0.7095115681233933,0.9208267282839411,74.58563535911603,0.7317073170731707,0.9104351756285457,77.05627705627705,0.8165137614678899,0.936922635232128,85.20710059171597,0.8275862068965518,0.9561019374959947,83.75,0.8145896656534956,0.9578236607142857
CiteSeer,WCEL,0.7248342577111702,0.758,0.7270001091476436,0.7579999999999999,0.9186139702796936,0.14536574602127075,40.25974025974026,0.46616541353383456,0.823943661971831,75.27472527472527,0.7210526315789473,0.9251726268841183,75.13812154696133,0.7371273712737128,0.9085260963714004,78.78787878787878,0.8088888888888889,0.9435259149173323,81.06508875739645,0.8130563798219584,0.9551549071126966,84.375,0.8157099697885197,0.9553608630952382
CiteSeer,WCEL,0.7290538422537466,0.762,0.7307733632865832,0.762,0.9163720011711121,0.14511751651763916,40.25974025974026,0.46616541353383456,0.8076712020373993,74.17582417582418,0.7142857142857142,0.9203464628281254,76.24309392265194,0.739946380697051,0.9166683531324415,78.35497835497836,0.817155756207675,0.9394446039439539,84.02366863905326,0.813753581661891,0.9584018684268616,84.375,0.8333333333333331,0.9556994047619048
